location,coordinates,type,cuisine,description,euros per person
"Gran Caffè Gambrinus (Naples)","40.836796,14.248479","cafe","Neapolitan café","Historic 19th-century cafe known for Neapolitan coffee and pastries, a beloved meeting place for locals and artists:contentReference[oaicite:0]{index=0}.","5-15"
"Pasticceria Andrea Pansa (Amalfi)","40.634579,14.603330","cafe","Italian pastries","Historic pastry shop (est. 1830) by Amalfi’s cathedral, famed for traditional pastries like the Delizia al Limone and chocolate-dipped scorzette:contentReference[oaicite:1]{index=1}.","5-15"
"Caffè Sicilia (Noto)","36.8911182,15.0697164","cafe","Sicilian pastries & gelato","Historic café (est. 1892) run by the Assenza family, renowned for its artisanal Sicilian pastries, granita, and gelato made with local citrus:contentReference[oaicite:2]{index=2}.","5-10"
"Pasticceria Maria Grammatico (Erice)","38.0378194,12.5864861","cafe","Sicilian pastries","Legendary pastry shop famous for its convent-inspired almond sweets and marzipan, founded by Maria Grammatico and set in a charming courtyard:contentReference[oaicite:3]{index=3}.","5-10"
"Caffè Alvino (Lecce)","40.3528830,18.1731326","cafe","Salentine café","Historic cafe on Lecce’s main piazza Sant’Oronzo, known for its rustico leccese (savory puff pastry) and custard-filled pasticciotto enjoyed with views of Roman ruins:contentReference[oaicite:4]{index=4}.","3-8"
"Pasticceria Ascalone (Galatina)","","cafe","Pastry shop (pasticciotto)","Family-run pastry shop credited with inventing the pasticciotto in 1745 – a custard-filled shortcrust tart – still made by the Ascalone family in their tiny historic bakery:contentReference[oaicite:5]{index=5}.","2-5"
"Gran Caffè Renzelli (Cosenza)","39.2881531,16.2608554","cafe","Calabrian café & bakery","Historic café founded in 1801, a fixture in Cosenza’s old town where generations have gathered for coffee. Famous for its own anise liqueur and almond sweets like the “varchiglia”:contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7}.","5-10"
"Pasticceria Cappello (Palermo)","","cafe","Pastry & chocolate shop","Iconic Palermo pastry shop known for its rich Setteveli chocolate-hazelnut cake, cannoli, and classic Sicilian desserts, often hailed among the city’s best sweet spots.","5-15"
"Franco’s Bar (Positano)","40.62863,14.48796","bar","Cocktail bar","Chic open-air cocktail bar with spectacular views of Positano and the sea, serving classic and creative drinks in a stylish terrace setting (famous for its sunset atmosphere):contentReference[oaicite:8]{index=8}.","20-40"
"Bar Vitelli (Savoca)","37.955776,15.339690","bar","Traditional bar","Rustic village bar featured in *The Godfather*, offering refreshing granita and local wine on a vine-covered terrace in the quiet medieval piazza of Savoca:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10}.","5-15"
"Bar Turrisi (Castelmola)","37.858543,15.2773844","bar","Quirky bar","Quirky multi-level bar famed for its cheeky phallic-themed decor and panoramic views over Taormina and Mt. Etna. A Castelmola institution since 1947, also known for house-made almond wine:contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12}.","5-15"
"Taverna Anema e Core (Capri)","","bar","Nightclub tavern","Capri’s legendary late-night tavern with live music and dancing. A celebrity hotspot where local bands and patrons sing Italian classics into the early morning in a lively, tambourine-shaking atmosphere.","20-50"
"Bar Quanto Basta (Lecce)","","bar","Craft cocktail bar","Award-winning craft cocktail bar in Lecce’s historic center, tucked in a vaulted stone alcove. Renowned for expert mixologists who shake up inventive cocktails in a cool, laid-back environment:contentReference[oaicite:13]{index=13}.","10-20"
"Area 8 (Matera)","","bar","Cocktail lounge","Trendy multi-functional lounge in Matera’s Sassi district that doubles as a cocktail bar, casual eatery, and arts venue. Popular for creative signature drinks and DJ sets under its cave-like tuff stone ceiling:contentReference[oaicite:14]{index=14}.","10-20"
"L’Antiquario (Naples)","","bar","Speakeasy cocktail bar","Intimate speakeasy-style bar in Naples (often ranked among the world’s top bars) known for its sophisticated vintage ambiance and impeccably crafted classic cocktails using premium spirits.","15-25"
"Capri Rooftop (Capri)","","bar","Lounge bar","Elegant open-air lounge bar in Capri with modern chic decor and breathtaking views of the Faraglioni rocks and marina. Specializes in champagne and craft cocktails, perfect for a luxurious sunset drink.","15-30"
"Don Alfonso 1890 (Sant’Agata sui Due Golfi)","40.614000,14.362700","fine dining restaurant","Contemporary Mediterranean","World-renowned two-Michelin-star restaurant and boutique inn offering refined Mediterranean cuisine rooted in Campanian tradition. The Iaccarino family’s iconic establishment, celebrated for its organic farm-to-table ingredients and exquisite tasting menus:contentReference[oaicite:15]{index=15}.","150-250"
"La Sponda (Positano)","","fine dining restaurant","Italian (Amalfi Coast)","Romantic Michelin-starred restaurant in Positano’s Le Sirenuse Hotel. Illuminated by hundreds of candles each evening, it serves elegant Amalfi Coast cuisine with fresh local seafood and herbs, accompanied by mandolin serenades:contentReference[oaicite:16]{index=16}.","100-150"
"Quattro Passi (Nerano)","","fine dining restaurant","Italian (seafood gourmet)","Exclusive two-Michelin-star restaurant tucked in the bay of Nerano. Chef Antonio Mellino crafts inventive seafood-centric tasting menus (including the famous spaghetti with zucchini) paired with wines from an extensive cellar in a chic coastal setting.","150-250"
"Duomo (Ragusa)","36.926400,14.741000","fine dining restaurant","Sicilian haute cuisine","Chef Ciccio Sultano’s two-Michelin-star restaurant in Ragusa Ibla – a standard-bearer for Sicilian haute cuisine:contentReference[oaicite:17]{index=17}. Serves imaginative interpretations of Sicilian flavors (like Modica chocolate or local tuna) in an elegant baroque-palazzo setting.","150-250"
"La Madia (Licata)","37.108000,13.946000","fine dining restaurant","Sicilian contemporary","Chef Pino Cuttaia’s intimate two-Michelin-star restaurant in Licata, where Sicilian culinary memories are transformed into modern fine dining:contentReference[oaicite:18]{index=18}. Known for signature dishes like \"Cloud of Mozzarella\" and aromatic seafood couscous that reinvent tradition.","120-200"
"Grotta Palazzese (Polignano a Mare)","41.000000,17.217000","fine dining restaurant","Contemporary Italian","Dramatic fine dining restaurant set inside a natural sea cave on the Adriatic. Offers a unique romantic experience dining by candlelight above the waves, with upscale Apulian-inspired dishes and fresh seafood in a one-of-a-kind atmosphere (premium pricing applies).","130-200"
"Bros’ (Lecce)","40.351000,18.168000","fine dining restaurant","Experimental Italian","Lecce’s first Michelin-starred restaurant run by a young avant-garde team. Offers an experimental tasting menu that playfully deconstructs and reimagines Apulian ingredients in a minimalist, edgy dining space – a polarizing but unforgettable culinary experience.","100-150"
"Qafiz (Santa Cristina d’Aspromonte)","38.274000,15.959000","fine dining restaurant","Calabrian modern cuisine","Stylish one-Michelin-star restaurant tucked in Calabria’s Aspromonte mountains. Chef Nino Rossi’s creative cuisine shines here, spotlighting wild local ingredients (like bergamot, wild mushrooms) in artful dishes that redefine Calabrian tradition in a serene rural setting.","80-120"
"L’Antica Pizzeria da Michele (Naples)","","casual restaurant","Pizzeria (Neapolitan)","Perhaps Naples’ most famous pizzeria (est. 1870), known as the “sacred temple of pizza”:contentReference[oaicite:19]{index=19}. Serves only two varieties – Margherita and Marinara – but their perfect wood-fired crust and simple fresh toppings inspire daily lines out the door.","5-10"
"Pizzeria Gino Sorbillo (Naples)","","casual restaurant","Pizzeria (Neapolitan)","Legendary pizzeria on Via dei Tribunali in Naples. Gino Sorbillo’s pies feature a soft, chewy crust and balanced toppings, earning worldwide acclaim. Expect a lively crowd and long waits for arguably one of the city’s best pizzas.","5-15"
"Trattoria da Nennella (Naples)","","casual restaurant","Trattoria (Neapolitan)","No-frills, boisterous trattoria in Naples’ Spanish Quarter serving hearty home-style Neapolitan classics (like pasta e patate, fried anchovies) at low prices. The theatrical waiters and communal tables make dining here a fun, authentic local experience.","10-20"
"Lo Scoglio da Tommaso (Nerano)","","casual restaurant","Seafood trattoria","Family-run seaside restaurant in Marina del Cantone, Nerano, reachable partly by boat. Revered for its ultra-fresh seafood and famous spaghetti alla nerano (zucchini pasta). Casual ambiance on a pier; a favorite of food lovers and celebrities seeking rustic charm.","40-80"
"La Tagliata (Positano)","","casual restaurant","Farm-to-table trattoria","Rustic farmhouse restaurant perched high above Positano. Offers no menu – just abundant fixed-course meals of whatever is freshly harvested and cooked that day. Guests enjoy sweeping views, grilled meats, garden vegetables, house wine, and warm family hospitality.","50-70"
"Antica Focacceria San Francesco (Palermo)","","casual restaurant","Street food eatery","Historic eatery (est. 1834) in Palermo famous for traditional Sicilian street foods. Locals flock here for **pane ca’ meusa** (spleen sandwiches), panelle (chickpea fritters) and arancine in an atmospheric, old-world setting that’s part restaurant, part street stall.","5-15"
