location,coordinates,description,euros_per_person
"Pompeii Archaeological Park","40.7510, 14.4892","Vast ruins of an ancient Roman city buried by Mt. Vesuvius in 79 AD; remarkably preserved streets, houses, frescoes. UNESCO World Heritage site drawing millions of visitors.","18"
"Herculaneum Ruins (Ercolano)","40.8060, 14.3482","Smaller seaside Roman town also buried in 79 AD; wealthier than Pompeii, with wood beams, furniture and organic materials carbonized and intact under pyroclastic mud.","16"
"Paestum Temples & Museum","40.4222, 15.0053","Ancient Greek city with three enormous Doric temples (c. 550–450 BCE) among the best-preserved in the world. City walls, forum, and museum (with the famous 'Tomb of the Diver') on-site.","12"
"Cuma Archaeological Park","40.8486, 14.0536","Ruins of Cumae, the first Greek colony on mainland Italy (8th c. BCE) and site of the legendary Cumaean Sibyl’s cave. Remains of temples and acropolis illustrate centuries of Greek and Roman history.","4"
"Villa Oplontis (T. Annunziata)","40.7563, 14.4533","Luxurious Roman villa (Villa Poppaea, Nero’s wife’s residence) with private baths, pool and vivid wall frescoes. Buried by Vesuvius in 79 AD. Smaller crowds, exceptionally preserved rooms.","7"
"Flavian Amphitheater (Pozzuoli)","40.8265, 14.1241","3rd-largest Roman amphitheater in Italy (capacity ~40k). Notable for its intact underground tunnels where gladiators and animals awaited. Visitors can explore the well-preserved hypogeum.","5"
"Velia (Ancient Elea) Ruins","40.1586, 15.1572","Ruins of the Greek city Elea (6th c. BCE), famed for the Eleatic school of philosophy. Later Roman town (Velia). Hillside site includes city gate, forum, and medieval tower.","13"
"Matera Sassi (Cave Town)","40.6667, 16.6000","Ancient cave dwellings carved into limestone cliffs, continuously inhabited from Paleolithic times until the 1950s. Scenic stone city, UNESCO World Heritage site.","0"
"Montecassino Abbey","41.4900, 13.8139","Historic Benedictine abbey founded in AD 529 by St. Benedict. Hilltop site heavily damaged in WWII and rebuilt. Houses rich archives and art.","0"
"Royal Palace of Caserta","41.0733, 14.3264","Enormous 18th-century Baroque palace built for the Bourbon kings of Naples. World’s largest royal residence by volume with 1,200 rooms and vast formal gardens.","18"
"Certosa di Padula (Padula Charterhouse)","40.3372, 15.6519","Ornate Carthusian monastery (founded 1306), the largest in Italy. Features Baroque architecture, cloisters, gardens, and 320 rooms.","8"
"Aragonese Castle (Ischia)","40.7310, 13.9654","Dramatic medieval castle on a rocky islet off Ischia, accessed via causeway. Fortress dating to 474 BC with panoramic sea views and historic chapels.","12"
"Castel dell’Ovo (Naples)","40.8283, 14.2476","Seafront fortress on the Megaride islet, reputedly built on a magic egg. Oldest castle in Naples and offers superb views of the bay. Free to enter.","0"
"Castel Sant’Elmo & San Martino (Naples)","40.8438, 14.2390","Hilltop fortress and adjacent Carthusian monastery museum overlooking Naples. The castle offers 360° rampart views; the museum displays Baroque art and Neapolitan nativity scenes.","5"
"Amalfi Cathedral & Cloister","40.6346, 14.6033","9th-century cathedral combining Arab-Norman, Gothic, Renaissance, and Baroque elements. Features St. Andrew’s relics and the Moorish-arched Cloister of Paradise.","3"
"Caserta Vecchia (Medieval Village)","41.0967, 14.3664","Atmospheric medieval hilltown with cobbled lanes, panoramic views, a 12th-century Arab-Norman cathedral, and a ruined castle tower.","0"
"Villa Rufolo (Ravello)","40.6485, 14.6127","13th-century villa famed for its terraced gardens overlooking the Amalfi Coast. Mix of Arabic and Gothic architecture; hosts Ravello music festivals.","7"
"Naples National Archaeological Museum","40.8536, 14.2506","World-leading classical museum with vast Pompeii and Herculaneum collections (mosaics, frescoes, sculptures), and the Farnese marbles. Essential Greco-Roman antiquities.","20"
"Capodimonte Museum & Park (Naples)","40.8670, 14.2506","Former Bourbon royal palace turned art museum. Hosts Italian and European masterpieces (Raphael, Caravaggio, Titian) and the Capodimonte porcelain collection. Surrounded by a peaceful park.","15"
"Catacombs of San Gennaro (Naples)","40.8675, 14.2485","Early Christian catacombs (2nd–5th c.) carved into tuff. Tombs, frescoes, basilica-like chambers, and the burial site of Saint Januarius. Guided tours available.","11"
"Naples Underground Tour (Napoli Sotterranea)","40.8472, 14.2573","Guided exploration of Naples’ underground Greek-Roman aqueduct networks and WWII bomb shelters. Includes cisterns, tunnels, and unique subterranean spaces.","10"
"Teatro di San Carlo (Naples)","40.8344, 14.2471","Oldest opera house in Europe (1737) with a gilded horseshoe auditorium and superb acoustics. Backstage tours and performances available.","9"
"Cappella Sansevero (Naples)","40.8473, 14.2563","18th-century chapel-museum famous for the 'Veiled Christ' marble sculpture, noted for its lifelike drapery. Features Baroque decoration and anatomical models.","8-10"
"Royal Palace of Naples (Palazzo Reale)","40.8369, 14.2493","Elegant 17th-century Bourbon palace on Piazza del Plebiscito. Tour the throne room, royal apartments, and courtyard. Houses a museum and the National Library.","10"
"MADRE Museum (Naples)","40.8523, 14.2620","Contemporary art museum showcasing modern Italian and international works (Warhol, Koons, etc.) in a restored palazzo. Includes site-specific installations.","8"
"Mount Vesuvius Summit Hike","40.8214, 14.4274","Hike to the crater rim of Vesuvius from ~1,000 m. Features steaming vents and sweeping coastal views. Park guides available at the top.","10"
"Path of the Gods Trail (Amalfi)","40.6123, 14.5313","Spectacular 7 km trail along cliffs above the Amalfi Coast. Offers dramatic sea views, terraced vineyards, and ancient mule paths.","0"
"Valle delle Ferriere Reserve (Amalfi)","40.6200, 14.6020","Lush protected valley with forested trails, waterfalls, and ruins of paper mills. Features rare giant ferns in a humid microclimate.","0"
"Monte Faito Cable Car & Hike","40.6930, 14.4894","Cable car from Castellammare di Stabia to Monte Faito (1,100 m). Offers panoramic views, cool mountain air, and wooded hiking trails.","8"
"Mount Epomeo Hike (Ischia)","40.7389, 13.9031","Hike to the 789 m summit of Ischia for 360° views of the island, Capri, and Naples. Includes rock-hewn chapel and summit café.","0"
"Pertosa-Auletta Caves","40.5240, 15.5197","Guided cave tour featuring illuminated caverns, stalactites, stalagmites, and an underground river with optional boat ride.","15"
"Baia Underwater Archaeology Park (Snorkel/Dive)","40.7994, 14.0825","Snorkel or scuba among submerged ruins of ancient Baiae, including mosaics, statues, and ancient roads on the seafloor.","30"
"Positano (Town & Beach)","40.6281, 14.4845","Iconic vertical village with pebble beaches, chic boutiques, cliffside cafés, and stunning sea views. Best appreciated from the water via boat taxi.","0"
"Blue Grotto (Capri)","40.6293, 14.2226","Sea cave illuminated electric-blue by sunlight through an underwater opening. Accessed by small rowboats; entry depends on sea conditions.","14"
"Monte Solaro Chairlift (Capri)","40.5473, 14.2337","Chairlift from Anacapri to Capri’s highest point (589 m). Offers sweeping views of Capri, Faraglioni, and Bay of Naples.","12"
"Procida Island Exploration","40.7624, 14.0183","Colorful island with picturesque Marina Corricella, Terra Murata, Abbazia San Michele, and black-sand beaches. Accessible by ferry.","15"
"Palinuro Sea Caves Boat Tour (Cilento)","40.0188, 15.2886","Boat tour around Cape Palinuro’s cliffs and grottos, including the sapphire-lit Blue Cave. Includes swimming stops if weather allows.","25"
