name,location,coordinates,type,bathroom_type,description,amenities,euros_per_night
"Hostel of the Sun","Naples, Campania","40.84060669, 14.25577164","hostel","shared","Award-winning backpacker hostel with free breakfast & dinner, bar, and walking tours in the Port of Naples:contentReference[oaicite:37]{index=37}. Incredibly social vibe and welcoming staff; dorms are air-conditioned with individual lockers and outlets.","Free Wi-Fi; Free breakfast; Communal kitchen; Bar; Luggage storage","30"
"6 Small Rooms Hostel","Naples, Campania","40.847000, 14.252000","hostel","shared","Intimate, highly-rated hostel known for its friendly staff and communal atmosphere. No bunk beds in dorms for extra comfort and frequent group activities/club outings foster a homely feel:contentReference[oaicite:38]{index=38}.","Free breakfast; Common room; BYOB policy; Shared kitchen; Lockers","30"
"La Controra Hostel","Naples, Campania","40.856300, 14.237900","hostel","shared","Trendy hostel set in a converted monastery with a large palm garden. Stylish minimalist design with murals and a bar – feels like a boutique hotel on a backpacker budget:contentReference[oaicite:39]{index=39}. Social and relaxed ambience with volunteer staff organizing outings.","Free breakfast; Bar; Garden terrace; Shared kitchen; 24/7 reception","35"
"Ostello Bello Napoli","Naples, Campania","40.840607, 14.255772","hostel","shared","Top-rated party hostel in central Naples. Lively communal areas including a rooftop terrace bar and patio. Organized events (pub crawls, ping-pong, foosball) make it perfect for solo travelers looking to meet others:contentReference[oaicite:40]{index=40}.","Rooftop bar; Welcome drink; Communal kitchen; 24/7 front desk; Daily events","45"
"Agorà Hostel Deluxe","Pompei, Campania","40.749000, 14.486000","hostel","shared","Budget-friendly hostel a 5-minute walk from Pompeii’s ruins. Offers dorms & private rooms in a modern building. Has a garden courtyard and onsite lounge bar – ideal for cooling off after exploring the archaeological park.","Free Wi-Fi; Garden patio; Bar; Guest kitchen; Parking","20"
"Ulisse Deluxe Hostel","Sorrento, Campania","40.626300, 14.375800","hostel","private","Large budget hotel/hostel hybrid in Sorrento with 50+ spacious rooms. Each room is air-conditioned and comes with a private bathroom like a standard hotel:contentReference[oaicite:41]{index=41}. Guests have discounted access to an adjacent spa with indoor pool, making it a great value in Sorrento.","Air conditioning; En-suite bathroom; Indoor pool (nearby spa); Gym access; 24/7 reception","50"
"Viva Hotel Avellino","Avellino, Campania","40.914000, 14.793000","hotel","private","Modern 4-star city hotel offering a welcoming stay **ideal for business or leisure** travelers:contentReference[oaicite:42]{index=42}. Centrally located near Avellino Cathedral. Rooms are contemporary with all conveniences; on-site restaurant serves local cuisine.","Restaurant; Bar; Free Wi-Fi; Meeting rooms; Private parking","100"
"Hotel Villa Traiano","Benevento, Campania","41.130000, 14.780000","hotel","private","Elegant boutique hotel in a historic villa opposite the Arch of Trajan. Offers upscale comfort and personal service – guests enjoy a full breakfast in its garden/library and quiet, refined rooms:contentReference[oaicite:43]{index=43}.","Free breakfast; Garden & library; 24/7 reception; Room service; Laundry service","120"
"Hotel Royal Caserta","Caserta, Campania","41.075000, 14.333100","hotel","private","First-class hotel located steps from the Royal Palace of Caserta. An **upscale retreat** with stylish rooms and an excellent local breakfast:contentReference[oaicite:44]{index=44}. Offers a gourmet restaurant, fitness area, and free Wi-Fi; many rooms have palace or park views.","Free breakfast; Restaurant; Fitness center; Free Wi-Fi; Concierge","95"
"Grand Hotel Vesuvio","Naples, Campania","40.830091, 14.248179","hotel","private","Naples’ iconic seafront 5★ hotel – the historic **“grand dame”** known for hosting movie stars and royalty:contentReference[oaicite:45]{index=45}. Opulent interiors with marble, chandeliers, antiques. Features a rooftop restaurant with bay views and even a private yacht for guests to island-hop in style:contentReference[oaicite:46]{index=46}.","Fine-dining restaurant; Rooftop terrace; Spa & gym; Pool; Private yacht service","400"
